6.054687500000000000e-01	0.000000000000000000e+00	9.687500000000000000e-01	6.835937500000000000e-01	2.490234375000000000e-02	9.687500000000000000e-01	3.979492187500000000e-02	0.000000000000000000e+00
9.960937500000000000e-01	0.000000000000000000e+00	8.125000000000000000e-01	1.000000000000000000e+00	0.000000000000000000e+00	6.210937500000000000e-01	4.062500000000000000e-01	1.000000000000000000e+00
0.000000000000000000e+00	9.921875000000000000e-01	0.000000000000000000e+00	9.765625000000000000e-01	1.000000000000000000e+00	9.921875000000000000e-01	4.375000000000000000e-01	5.664062500000000000e-01
8.437500000000000000e-01	7.421875000000000000e-02	2.275390625000000000e-01	1.982421875000000000e-01	9.101562500000000000e-01	1.000000000000000000e+00	3.222656250000000000e-01	9.296875000000000000e-01
8.867187500000000000e-01	3.613281250000000000e-01	9.570312500000000000e-01	8.906250000000000000e-01	9.921875000000000000e-01	9.726562500000000000e-01	9.609375000000000000e-01	2.792968750000000000e-01
5.585937500000000000e-01	8.867187500000000000e-01	9.882812500000000000e-01	7.773437500000000000e-01	8.437500000000000000e-01	9.218750000000000000e-01	9.843750000000000000e-01	8.828125000000000000e-01
9.179687500000000000e-01	8.984375000000000000e-01	0.000000000000000000e+00	5.507812500000000000e-01	7.968750000000000000e-01	1.000000000000000000e+00	1.000000000000000000e+00	9.179687500000000000e-01
9.804687500000000000e-01	9.179687500000000000e-01	8.789062500000000000e-01	1.000000000000000000e+00	9.921875000000000000e-01	1.000000000000000000e+00	9.687500000000000000e-01	1.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	5.664062500000000000e-01	9.296875000000000000e-01	9.218750000000000000e-01	9.179687500000000000e-01	9.843750000000000000e-01
9.726562500000000000e-01	9.843750000000000000e-01	9.492187500000000000e-01	1.000000000000000000e+00	8.046875000000000000e-01	9.960937500000000000e-01	1.000000000000000000e+00	9.960937500000000000e-01
1.000000000000000000e+00	9.609375000000000000e-01	8.164062500000000000e-01	9.726562500000000000e-01	8.710937500000000000e-01	8.203125000000000000e-01	1.000000000000000000e+00	1.000000000000000000e+00
9.257812500000000000e-01	1.000000000000000000e+00	9.648437500000000000e-01	1.000000000000000000e+00	1.000000000000000000e+00	8.906250000000000000e-01	8.125000000000000000e-01	9.609375000000000000e-01
9.687500000000000000e-01	6.718750000000000000e-01	9.296875000000000000e-01	9.843750000000000000e-01	8.046875000000000000e-01	9.296875000000000000e-01	6.132812500000000000e-01	9.140625000000000000e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	9.687500000000000000e-01	9.921875000000000000e-01	9.804687500000000000e-01	1.000000000000000000e+00	9.843750000000000000e-01
9.375000000000000000e-01	9.335937500000000000e-01	8.007812500000000000e-01	9.882812500000000000e-01	9.765625000000000000e-01	1.000000000000000000e+00	8.710937500000000000e-01	1.000000000000000000e+00
1.000000000000000000e+00	9.218750000000000000e-01	1.000000000000000000e+00	8.085937500000000000e-01	1.000000000000000000e+00	8.281250000000000000e-01	1.000000000000000000e+00	1.000000000000000000e+00
1.000000000000000000e+00	9.257812500000000000e-01	1.000000000000000000e+00	9.375000000000000000e-01	9.218750000000000000e-01	1.000000000000000000e+00	1.000000000000000000e+00	8.906250000000000000e-01
9.687500000000000000e-01	1.000000000000000000e+00	9.531250000000000000e-01	9.257812500000000000e-01	8.750000000000000000e-01	9.609375000000000000e-01	1.000000000000000000e+00	9.570312500000000000e-01
6.835937500000000000e-01	1.000000000000000000e+00	8.828125000000000000e-01	1.000000000000000000e+00	8.984375000000000000e-01	9.804687500000000000e-01	7.812500000000000000e-01	9.492187500000000000e-01
9.843750000000000000e-01	7.343750000000000000e-01	9.414062500000000000e-01	9.570312500000000000e-01	2.187500000000000000e-01	9.609375000000000000e-01	7.500000000000000000e-01	9.882812500000000000e-01
9.960937500000000000e-01	8.632812500000000000e-01	1.000000000000000000e+00	9.843750000000000000e-01	9.492187500000000000e-01	9.804687500000000000e-01	9.921875000000000000e-01	3.378906250000000000e-01
9.648437500000000000e-01	7.187500000000000000e-01	9.414062500000000000e-01	1.000000000000000000e+00	8.515625000000000000e-01	9.140625000000000000e-01	8.671875000000000000e-01	8.867187500000000000e-01
9.492187500000000000e-01	9.609375000000000000e-01	8.828125000000000000e-01	9.960937500000000000e-01	7.968750000000000000e-01	1.000000000000000000e+00	8.554687500000000000e-01	9.804687500000000000e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.593750000000000000e-01	9.726562500000000000e-01	7.031250000000000000e-01	9.882812500000000000e-01	9.843750000000000000e-01	5.859375000000000000e-01
8.281250000000000000e-01	8.828125000000000000e-01	5.820312500000000000e-01	8.164062500000000000e-01	9.882812500000000000e-01	9.921875000000000000e-01	1.000000000000000000e+00	4.310607910156250000e-04
9.296875000000000000e-01	9.921875000000000000e-01	5.820312500000000000e-01	1.000000000000000000e+00	9.765625000000000000e-01	8.437500000000000000e-01	9.257812500000000000e-01	9.218750000000000000e-01
9.921875000000000000e-01	8.515625000000000000e-01	7.265625000000000000e-01	9.921875000000000000e-01	9.296875000000000000e-01	7.656250000000000000e-01	8.281250000000000000e-01	9.843750000000000000e-01
7.031250000000000000e-01	9.960937500000000000e-01	7.382812500000000000e-01	9.218750000000000000e-01	9.414062500000000000e-01	1.000000000000000000e+00	1.000000000000000000e+00	9.609375000000000000e-01
9.726562500000000000e-01	7.343750000000000000e-01	9.257812500000000000e-01	9.804687500000000000e-01	9.843750000000000000e-01	9.570312500000000000e-01	1.000000000000000000e+00	8.789062500000000000e-01
7.617187500000000000e-01	6.914062500000000000e-01	1.000000000000000000e+00	7.910156250000000000e-02	9.960937500000000000e-01	9.921875000000000000e-01	1.000000000000000000e+00	1.000000000000000000e+00
9.843750000000000000e-01	1.000000000000000000e+00	9.960937500000000000e-01	1.000000000000000000e+00	1.000000000000000000e+00	9.960937500000000000e-01	1.000000000000000000e+00	1.000000000000000000e+00
8.906250000000000000e-01	9.375000000000000000e-01	8.476562500000000000e-01	5.429687500000000000e-01	9.023437500000000000e-01	9.765625000000000000e-01	8.320312500000000000e-01	9.296875000000000000e-01
